id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
G_qFJBwdgRqjjrapidHPwg,fong-kee-clay-pot-union-city,Fong Kee Clay Pot,https://s3-media3.fl.yelpcdn.com/bphoto/n-llcDFpxpwOiXEMGLi6WA/o.jpg,False,https://www.yelp.com/biz/fong-kee-clay-pot-union-city?adjust_creative=Eoyi_YSkAfM5aeQla0x-3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Eoyi_YSkAfM5aeQla0x-3A,5,"[{'alias': 'cantonese', 'title': 'Cantonese'}]",5.0,"{'latitude': 37.58947, 'longitude': -122.02283}",[],"{'address1': '1773 Decoto Rd', 'address2': None, 'address3': '', 'city': 'Union City', 'zip_code': '94587', 'country': 'US', 'state': 'CA', 'display_address': ['1773 Decoto Rd', 'Union City, CA 94587']}",+15109529093,(510) 952-9093,6484.68764409451,
purj1aiUzDi0I__qLOaNRg,pan-fried-dumplings-newark,Pan Fried Dumplings,https://s3-media1.fl.yelpcdn.com/bphoto/3PuNE83LHi9RgTUeN3z3dQ/o.jpg,False,https://www.yelp.com/biz/pan-fried-dumplings-newark?adjust_creative=Eoyi_YSkAfM5aeQla0x-3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Eoyi_YSkAfM5aeQla0x-3A,467,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 37.548733, 'longitude': -122.0493413}",['restaurant_reservation'],"{'address1': '6180 Jarvis Ave', 'address2': 'Ste U', 'address3': '', 'city': 'Newark', 'zip_code': '94560', 'country': 'US', 'state': 'CA', 'display_address': ['6180 Jarvis Ave', 'Ste U', 'Newark, CA 94560']}",+15108941243,(510) 894-1243,2608.3045065147344,$$
HUXRBAnq-zruEgE2RFw9sQ,ambrose-butchery-fremont,Ambrose Butchery,https://s3-media2.fl.yelpcdn.com/bphoto/5xZxHG-EfJ6HyL1FNn6gUQ/o.jpg,False,https://www.yelp.com/biz/ambrose-butchery-fremont?adjust_creative=Eoyi_YSkAfM5aeQla0x-3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Eoyi_YSkAfM5aeQla0x-3A,201,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'butcher', 'title': 'Butcher'}]",4.5,"{'latitude': 37.5764345126062, 'longitude': -121.97724}",['delivery'],"{'address1': '37683 Niles Blvd', 'address2': '', 'address3': None, 'city': 'Fremont', 'zip_code': '94536', 'country': 'US', 'state': 'CA', 'display_address': ['37683 Niles Blvd', 'Fremont, CA 94536']}",+15105092677,(510) 509-2677,9359.532829994985,$$
iKJ8LTC61-QsLTLi1Cte1w,farmhouse-kitchen-thai-cuisine-menlo-park-2,Farmhouse Kitchen Thai Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/_vDlY-jousJqacyvEniesw/o.jpg,False,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-menlo-park-2?adjust_creative=Eoyi_YSkAfM5aeQla0x-3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Eoyi_YSkAfM5aeQla0x-3A,799,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.0,"{'latitude': 37.45491677842326, 'longitude': -122.18342154110819}",['restaurant_reservation'],"{'address1': '1165 Merrill St', 'address2': '', 'address3': None, 'city': 'Menlo Park', 'zip_code': '94025', 'country': 'US', 'state': 'CA', 'display_address': ['1165 Merrill St', 'Menlo Park, CA 94025']}",+16506657935,(650) 665-7935,14174.951534593589,$$
